qtd,time_on,time_off,q264,q464,q750,q1264,q1864,q2564,withtoff,is_pc,is_mob
0,0.009162,0,0.069,0.0172,0.0172,0.069,0.0345,0.7931,0,1,0
0,0.095015,0,0.0045,0.0045,0.0045,0.9865,0,0,0,1,0
0,0.011399,0,0.96,0.04,0,0,0,0,0,1,0
0.157895,0.014882,0.059515,0.5502,0.1073,0.1393,0.0799,0.0525,0.0708,1,1,0
0,0.412452,0,0.0498,0.0114,0.01,0.8646,0.007,0.0572,0,1,0
0.052632,0.121708,0.064429,0.0052,0,0.0029,0.0012,0.0023,0.9884,1,0,1
0,0.230431,0,0.0049,0.9951,0,0,0,0,0,0,1
0,0.012409,0,0.15,0.1333,0.15,0.1167,0.1333,0.3167,0,1,0
0,0.000289,0,0,1,0,0,0,0,0,0,1
0,0.034125,0,0.6667,0.0126,0.0126,0.0126,0.0126,0.283,0,1,0
0,0.003391,0,0.0556,0.0556,0.0556,0.8333,0,0,0,1,0
0,0.158574,0,0.5215,0.1569,0.1323,0.1185,0.0708,0,0,1,0
0,0.000289,0,0,0,0.25,0,0.25,0.5,0,0,1
0.026316,0.05281,0.152301,0.2523,0.0295,0.0205,0.0205,0.0136,0.6636,1,1,0
0,0.019768,0,0.9744,0.0256,0,0,0,0,0,1,0
0,0.000289,0,0.5,0.25,0.25,0,0,0,0,1,0
0,0.013852,0,0.8718,0.1282,0,0,0,0,0,1,0
0,0.001154,0,0.5,0.125,0.125,0.125,0.125,0,0,1,0
0,0.030517,0,0.8993,0.1007,0,0,0,0,0,1,0
0,0.022798,0,0.2,0.28,0.2,0.12,0.04,0.16,0,1,0
0.078947,0.055191,0.064381,0.0441,0.014,0.012,0.9298,0,0,1,1,0
0.105263,0.073198,0.021021,0.4243,0.0692,0.0728,0.0905,0.1402,0.203,1,1,0
0,0.070774,0,0.7692,0.016,0.016,0.016,0.0192,0.1635,0,1,0
0,0.352283,0,0.9387,0.0613,0,0,0,0,0,1,0
0,0.023591,0,0.0084,0,0,0,0.0168,0.9748,0,0,1
0,0.168025,0,0.9912,0.0088,0,0,0,0,0,1,0
0,0.251858,0,0.011,0.0102,0.0102,0.0102,0.0119,0.9466,0,1,0
0.052632,0.055359,0.037529,0.0553,0.0501,0.0797,0.8149,0,0,1,1,0
0,0.006709,0,0.1667,0,0.0417,0.0833,0,0.7083,0,0,1
0.052632,0.058894,0.089946,0.8946,0.0221,0.0294,0.0172,0.0123,0.0245,1,1,0
0.026316,0.018938,0.013978,0.2458,0,0,0.0112,0.0056,0.7374,1,0,1
0.026316,0.258928,0.009537,0.1856,0.1187,0.1303,0.3779,0.0915,0.096,1,1,0
0.052632,0.008369,0.0807,0.3083,0.2583,0.35,0.0833,0,0,1,1,0
0.052632,0.125989,0.068579,0.0345,0.0082,0.2533,0.7039,0,0,1,0,1
0,0.255176,0,0.4232,0.2903,0.1658,0.0642,0.0474,0.0092,0,0,1
0,0.26203,0,0.6001,0.0306,0.0299,0.0306,0.0299,0.2788,0,1,0
0,0.055552,0,0.0698,0.0349,0.0349,0.0349,0.0349,0.7907,0,1,0
0.052632,0.006806,0.203371,0.7805,0.1341,0.0854,0,0,0,1,1,0
0,0.035351,0,0.5762,0.0397,0.0397,0.0464,0.0397,0.2583,0,1,0
0,0.003102,0,0.7692,0.1538,0.0769,0,0,0,0,1,0
0,0.007575,0,0,0,0,0,0.1389,0.8611,0,0,1
0.052632,0.112883,0.013141,0.0733,0.1033,0.1249,0.189,0.2596,0.2498,1,1,0
0,0.272924,0,0.1174,0.1273,0.1876,0.3554,0.1769,0.0355,0,1,0
0.026316,0.008188,0.140434,0.1818,0.7403,0.0779,0,0,0,1,1,0
0,0.070486,0,0.0345,0,0,0.9655,0,0,0,0,1
0,0.022726,0,0.0577,0.0481,0.7019,0.0385,0.0288,0.125,0,1,0
0,0.003102,0,0,0,0,1,0,0,0,1,0
0,0.007359,0,0.3939,0.2424,0.3333,0.0303,0,0,0,1,0
0,0.01782,0,0.2099,0.1358,0.1235,0.0864,0.0988,0.3457,0,1,0
0.026316,0.20197,0.054164,0.0265,0.0125,0.2696,0.1677,0.2561,0.2676,1,0,1
0.026316,0.247745,0.009974,0.0949,0.0183,0.0183,0.0206,0.022,0.8258,1,1,0
0.078947,0.025593,0.026815,0.7324,0.1103,0.0141,0.1432,0,0,1,0,1
0,0.35957,0,0.9633,0.0072,0.0072,0.0072,0.0084,0.0066,0,1,0
0,0.220258,0,0.0127,0.0127,0.0117,0.963,0,0,0,1,0
0.026316,0.201753,0.069962,0.0267,0.0256,0.0272,0.9205,0,0,1,1,0
0.026316,0.122358,0.099083,0.5273,0.1404,0.204,0.1283,0,0,1,1,0
0,0.165861,0,0.0227,0.0227,0.0212,0.0241,0.0184,0.8909,0,1,0
0,0.047327,0,0.4819,0.3316,0.0933,0.0052,0.0466,0.0415,0,0,1
0,0.354303,0,0.2188,0.0089,0.0089,0.0102,0.0172,0.736,0,1,0
0.052632,0.156699,0.017509,0.0059,0.0059,0.0055,0.0055,0.0055,0.9717,1,1,0
0,0.084265,0,0.0175,0.005,0.2531,0.6767,0.0476,0,0,0,1
0,0.031455,0,0.7453,0.2453,0.0094,0,0,0,0,1,0
0,0.003896,0,0.8,0.2,0,0,0,0,0,1,0
0,0.056129,0,0.7379,0.165,0.0874,0.0097,0,0,0,1,0
0,0.233389,0,0.8844,0.1156,0,0,0,0,0,1,0
0.052632,0.022293,0.103087,0.0895,0,0,0,0.0064,0.9042,1,0,1
0,0.059736,0,0.0247,0.0247,0.0247,0.0283,0.0247,0.8728,0,1,0
0,0.014573,0,1,0,0,0,0,0,0,0,1
0.105263,0.019393,0.016799,0.5882,0,0,0,0,0.4118,1,1,0
0.026316,0.079395,0.070763,0.4011,0.3051,0.162,0.1262,0.0056,0,1,1,0
0,0.031527,0,0.6331,0.2302,0.0935,0.0432,0,0,0,1,0
0,0.000577,0,0.2857,0.1429,0.2857,0.1429,0.1429,0,0,1,0
0.184211,0.029309,0.027613,0,0,0.012,0.012,0,0.9759,1,1,0
0,0.468725,0,0.3523,0.0647,0.0618,0.0686,0.1582,0.2944,0,1,0
0,0.014645,0,0.1045,0.0896,0.0746,0.0896,0.209,0.4328,0,1,0
0.131579,0.021054,0.011415,0.229,0.2587,0.2727,0.0559,0.0752,0.1084,1,0,1
0,0.336484,0,0.0077,0.0077,0.007,0.007,0.007,0.9635,0,1,0
0,0.021427,0,0.049,0.0392,0.0392,0.8725,0,0,0,1,0
0,0.463964,0,0.0038,0.0459,0.1617,0.7783,0.008,0.0024,0,1,0
0,0.008874,0,0.5,0.3864,0.1136,0,0,0,0,1,0
0,0.01984,0,0.1146,0.0729,0.0833,0.0729,0.0938,0.5625,0,1,0
0.052632,0.08465,0.090674,0.718,0.107,0.0522,0.0731,0.0209,0.0287,1,1,0
0.052632,0.070269,0.061517,0.1912,0.0307,0.0307,0.7474,0,0,1,1,0
0.052632,0.044008,0.079827,0.2398,0.0141,0.0141,0.0141,0.0141,0.7038,1,1,0
0.078947,0.092598,0.03958,0.1337,0.0953,0.0838,0.0819,0.0864,0.5189,1,1,0
0.052632,0.018301,0.314029,0.6089,0.1815,0.0685,0.1411,0,0,1,1,0
0,0.402063,0,0.0156,0.0145,0.0145,0.9555,0,0,0,1,0
0,0.139456,0,0.9917,0.0083,0,0,0,0,0,0,1
0,0.090686,0,0.5597,0.0771,0.0622,0.0572,0.0597,0.1841,0,1,0
0,0.021355,0,0.0088,0,0.0442,0.0265,0.0442,0.8761,0,0,1
0,0.130366,0,0.0081,0.0435,0.9355,0.0129,0,0,0,0,1
0.078947,0.062748,0.072632,0.1861,0.0917,0.0953,0.1443,0.1817,0.301,1,1,0
0,0.480341,0,0.0683,0.046,0.0446,0.0437,0.0706,0.7269,0,1,0
0.052632,0.072626,0.068433,0.0646,0.0807,0.2196,0.3348,0.2034,0.0969,1,1,0
0,0.033187,0,0.6815,0.2357,0.0828,0,0,0,0,1,0
0,0.000289,0,0.25,0.25,0.25,0.25,0,0,0,1,0
0,0.003319,0,0.1667,0.0556,0.7222,0.0556,0,0,0,1,0
0.078947,0.02709,0.013007,0.1801,0.1564,0.2062,0.045,0.019,0.3934,1,0,1
0,0.002381,0,0.3636,0.2727,0.1818,0.1818,0,0,0,1,0
0,0.066445,0,0.0032,0,0.0032,0.0906,0.1068,0.7961,0,1,0
0,0.244355,0,0.2193,0.0364,0.0355,0.0337,0.0482,0.6269,0,1,0
0.078947,0.062495,0.051835,0.2102,0.0085,0.0093,0.0093,0.0085,0.7542,1,1,0
0,0.001082,0,0.1818,0.2727,0,0,0.3636,0.1818,0,0,1
0.263158,0.010527,0.024927,0.0817,0.053,0.0508,0.0508,0.1082,0.6556,1,1,0
0,0.250776,0,9e-04,0,9e-04,0,9e-04,0.9974,0,1,0
0,0.035135,0,0.1118,0.0235,0.0294,0.0235,0.0235,0.7882,0,1,0
0.026316,0.099668,0.30613,0.4667,0.1062,0.0949,0.3322,0,0,1,1,0
0.184211,0.026369,0.024669,0.2691,0.2552,0.4758,0,0,0,1,0,1
0,0.000866,0,0.0769,0,0,0,0,0.9231,0,0,1
0.078947,0.008026,0.061202,0.1667,0.1067,0.0933,0.0867,0.0933,0.4533,1,1,0
0.052632,0.016377,0.033962,0.0183,0.0275,0.0092,0.9266,0.0183,0,1,1,0
0.052632,0.114951,0.023005,0.5181,0.2813,0.2006,0,0,0,1,1,0
0.026316,0.008297,0.036255,0.6456,0.2152,0.0886,0.0127,0.0127,0.0253,1,1,0
0.026316,0.091444,0.035964,0.0024,0,0,0,0,0.9976,1,0,1
0,0.162615,0,0.6609,0.3297,0.0094,0,0,0,0,1,0
0.026316,0.038958,0.013177,0.3862,0.0403,0.0403,0.0461,0.1124,0.3746,1,1,0
0.026316,0.106414,0.081683,0.1366,0.0592,0.0611,0.0707,0.2407,0.4317,1,1,0
0.026316,0.043792,0.010629,0.3881,0.0476,0.0476,0.0452,0.0452,0.4262,1,1,0
0,0.056634,0,0.2281,0.1521,0.1597,0.1939,0.2586,0.0076,0,1,0
0.105263,0.045769,0.011193,0.0019,0.0019,0.0019,0.0019,0.0019,0.9906,1,1,0
0,0.014213,0,0.2353,0.2353,0.3824,0.1471,0,0,0,1,0
0,0.001731,0,0.4,0.5,0.1,0,0,0,0,1,0
0,0.013852,0,0.058,0.058,0.058,0.0725,0.2174,0.5362,0,1,0
0,0.055912,0,0.7956,0.1768,0.0276,0,0,0,0,1,0
0.105263,0.042017,0.029576,0.8727,0.11,0.0127,0.0012,0,0.0035,1,0,1
0,0.480773,0,5e-04,0.014,0.0235,0.0208,0.0366,0.9047,0,1,0
0.026316,0.25276,0.015652,0.0799,0.0125,0.0125,0.013,0.2789,0.6032,1,1,0
0.026316,0.072614,0.113861,0.9412,0.0588,0,0,0,0,1,1,0
0.026316,0.203665,0.013104,0.0309,0.0103,0.0087,0.0092,0.0087,0.9323,1,1,0
0,0.001226,0,0.3333,0.2222,0.2222,0.1111,0.1111,0,0,1,0
0,0.220908,0,0.4918,0.0801,0.0801,0.348,0,0,0,1,0
0.026316,0.031996,0.023296,0,1,0,0,0,0,1,0,1
0.026316,0.088991,0.009173,0.8904,0.1096,0,0,0,0,1,1,0
0,0.223072,0,0.0299,0.007,0.007,0.007,0.007,0.9421,0,1,0
0,0.204314,0,0.0298,0.0232,0.0243,0.0232,0.0221,0.8776,0,1,0
0.026316,0.150963,0.021404,0.3145,0.1831,0.2731,0.2293,0,0,1,1,0
0,0.000938,0,0.1429,0.1429,0.1429,0.1429,0.4286,0,0,1,0
0,0.005194,0,0,0,0,0,0,1,0,0,1
0,0.450256,0,0.011,0.0091,0.0096,0.0081,0.0086,0.9536,0,1,0
0,0.031022,0,0.9904,0.0096,0,0,0,0,0,1,0
0,0.513527,0,0.0013,0.0013,0.0017,0.0013,0.0017,0.9928,0,1,0
0,0.531058,0,0.0106,0.0094,0.009,0.9711,0,0,0,1,0
0,0.033042,0,0.7969,0.1094,0.0781,0.0156,0,0,0,1,0
0,0.018253,0,0.8636,0.0909,0.0227,0.0227,0,0,0,1,0
0,0.013347,0,1,0,0,0,0,0,0,1,0
0.026316,0.043034,0.019292,0.2679,0.1862,0.1429,0.2041,0.1173,0.0816,1,1,0
0,0.150206,0,0.8177,0.1806,0.0017,0,0,0,0,1,0
0,0.005122,0,0.3846,0.0769,0.0769,0.0769,0.0769,0.3077,0,1,0
0,0.064786,0,0.1325,0.7564,0.094,0.0085,0,0.0085,0,0,1
0,0.203016,0,0.1261,0.1304,0.1218,0.6218,0,0,0,1,0
0,0.163841,0,0.5652,0.4348,0,0,0,0,0,1,0
0,0.527523,0,0.5008,0.0396,0.0305,0.0227,0.0413,0.3651,0,1,0
0,0.011255,0,0.4444,0.5556,0,0,0,0,0,1,0
0,0.101003,0,0.2151,0.3269,0.3376,0.0452,0.0151,0.0602,0,0,1
0,0.121853,0,0.0478,0.0239,0.0239,0.0239,0.0222,0.8584,0,1,0
0,0.01111,0,0,0.0385,0.0769,0,0,0.8846,0,0,1
0.026316,0.068754,0.016744,0.9459,0.048,0.006,0,0,0,1,1,0
0,0.01479,0,0.3929,0.0714,0.5357,0,0,0,0,0,1
0,0.22704,0,0.2656,0.1675,0.1617,0.2137,0.1877,0.0038,0,1,0
0,0.174951,0,0.6698,0.3302,0,0,0,0,0,1,0
0.078947,0.071261,0.101534,0.0435,0.0348,0.0326,0.0174,0.0152,0.8564,1,1,0
0.026316,0.121312,0.011794,0.8411,0.0161,0.0161,0.0152,0.0134,0.0982,1,1,0
0,0.00202,0,0.2308,0.0769,0.0769,0.6154,0,0,0,1,0
0,0.036722,0,0.7353,0.0882,0.1235,0.0529,0,0,0,1,0
0,0.031744,0,0.0688,0.05,0.0438,0.0625,0.0688,0.7063,0,1,0
0.026316,0.044369,0.011794,0.0049,0.0049,0.0049,0.0049,0.0073,0.9732,1,1,0
0.026316,0.079107,0.010556,0.2402,0.7598,0,0,0,0,1,1,0
0.026316,0.047724,0.010702,0.0168,0.0168,0.0168,0.0168,0.0192,0.9135,1,1,0
0.026316,0.103348,0.017036,0.0643,0.0222,0.0253,0.0199,0.0368,0.8315,1,1,0
0.052632,0.16336,0.010665,0.1317,0.0084,0.0084,0.0075,0.0084,0.8355,1,1,0
0.026316,0.066878,0.033853,0.4887,0.5113,0,0,0,0,1,1,0
0.026316,0.026838,0.238133,0.4937,0.0377,0.1088,0.0502,0.0795,0.2301,1,1,0
0.026316,0.046678,0.02599,0.8659,0.1341,0,0,0,0,1,1,0
0,0.230142,0,0.001,0.0029,0.0495,0.0743,0.1048,0.7676,0,1,0
0.026316,0.073516,0.022204,0.0183,0.0056,0.0127,0.0282,0.0395,0.8956,1,0,1
0,0.036577,0,0.018,0,0.018,0.006,0.1916,0.7665,0,1,0
0,0.06594,0,0.0193,0.0225,0.0193,0.9389,0,0,0,1,0
0,0.000794,0,1,0,0,0,0,0,0,1,0
0.078947,0.058383,0.009464,0.792,0.0285,0.0256,0.057,0.0313,0.0655,1,1,0
0,0.166294,0,0.021,0.0183,0.0183,0.9423,0,0,0,1,0
0.026316,0.026369,0.010411,0.0891,0.0347,0.0297,0.8465,0,0,1,1,0
0.026316,0.072866,0.062172,0.9156,0.0074,0.0074,0.0104,0.0059,0.0533,1,1,0
0.026316,0.170118,0.135847,0.1757,0.1034,0.0852,0.0403,0.0281,0.5673,1,1,0
0.052632,0.022533,0.156523,0.0409,0.0377,0.0377,0.0346,0.0472,0.8019,1,1,0
0,0.006998,0,0.2857,0.1714,0.1714,0.1429,0.1143,0.1143,0,1,0
0.026316,0.18249,0.020894,0.3553,0.3008,0.1428,0.1415,0.059,6e-04,1,1,0
0,0.01717,0,0.0194,0.0194,0.0194,0.9417,0,0,0,1,0
0.026316,0.126939,0.087726,0.913,0.0025,0.0025,0.0025,0.0025,0.077,1,1,0
0,0.008585,0,0.2381,0.2143,0.2857,0.2619,0,0,0,1,0
0,0.159152,0,0.0056,0.0127,0.0197,0.1718,0.3606,0.4296,0,1,0
0.026316,0.145047,0.017982,0.8978,0.0239,0.0231,0.0321,0.0179,0.0052,1,1,0
0,0.126831,0,0.6508,0.0239,0.0221,0.0221,0.0256,0.2555,0,1,0
0,0.001443,0,0,0,0.5,0,0,0.5,0,0,1
0.052632,0.143015,0.024206,0.1728,0.0065,0.006,0.006,0.006,0.8026,1,1,0
0.026316,0.107279,0.053145,0.293,0.011,0.0452,0.0132,0.0132,0.6244,1,1,0
0,0.081163,0,0.0079,0.0052,0.0052,0.0052,0.0052,0.9711,0,1,0
0.026316,0.002561,0.313337,0.0811,0.1622,0.2162,0.0811,0.0811,0.3784,1,0,1
0,0.037732,0,0.8503,0.1429,0.0068,0,0,0,0,1,0
0,0.005627,0,0.0667,0.0333,0.8,0.0333,0.0333,0.0333,0,1,0
0,0.095736,0,0.0067,0.0045,0.0045,0.0045,0.0067,0.9731,0,1,0
0.026316,0.274692,0.010047,0.2161,0.1376,0.1372,0.13,0.0982,0.2809,1,1,0
0.052632,0.061179,0.06705,0.381,0.1547,0.1325,0.1407,0.177,0.0141,1,1,0
0.052632,0.029579,0.061517,0.0827,0.048,0.0427,0.0373,0.04,0.7493,1,1,0
0,0.008297,0,0.9615,0.0385,0,0,0,0,0,1,0
0,0.00974,0,0.9744,0.0256,0,0,0,0,0,1,0
0,0.008369,0,0.92,0.04,0.04,0,0,0,0,1,0
0.078947,0.091462,0.036231,0.6978,0.1009,0.1433,0.0579,0,0,1,1,0
0,0.087945,0,0.3212,0.0876,0.0535,0.1119,0.1119,0.3139,0,0,1
0,0.002814,0,0.0625,0.0625,0.0625,0.0625,0.0625,0.6875,0,1,0
0.026316,0.011796,0.047539,0.3585,0.2925,0.1887,0.1132,0.0472,0,1,1,0
0,0.047399,0,0.036,0.0288,0.0288,0.0288,0.0324,0.8453,0,1,0
0,0.023808,0,0.0165,0,0,0,0.0165,0.9669,0,0,1
0,0.007431,0,0.0263,0.0263,0.0263,0.0263,0.0263,0.8684,0,1,0
0,0.012914,0,0.0968,0.0806,0.0645,0.0645,0.0645,0.629,0,1,0
0,0.082245,0,0.4328,0.3118,0.2446,0.0108,0,0,0,1,0
0,0.052738,0,0.4899,0.0486,0.0486,0.413,0,0,0,1,0
0.026316,0.071568,0.055329,0.7489,0.0044,0.0044,0.0044,0.0044,0.2336,1,1,0
0,0.004906,0,0.8696,0.1304,0,0,0,0,0,1,0
0,0.013996,0,0.0882,0.1029,0.0735,0.7353,0,0,0,1,0
0,0.004329,0,0.2174,0.087,0.0435,0.0435,0.0435,0.5652,0,1,0
0,0.016593,0,0.75,0.25,0,0,0,0,0,0,1
0,0.367145,0,0.0029,0.0035,0.0035,0.0029,0.0029,0.9844,0,1,0
0,0.003824,0,0.15,0.1,0.25,0.5,0,0,0,1,0
0.026316,0.024854,0.018419,0,0,0,0,0,1,1,1,0
0,0.186783,0,0.0069,0.0058,0.0046,0.0046,0.0058,0.9724,0,1,0
0,0.010894,0,0.0566,0.0566,0.0566,0.8302,0,0,0,1,0
0.026316,0.056634,0.04652,0.6835,0.0131,0.015,0.0131,0.0131,0.2622,1,1,0
0,0.330279,0,0.3158,0.0895,0.1039,0.1303,0.1572,0.2033,0,1,0
0.026316,0.068177,0.051616,0.1912,0.2304,0.3742,0.1912,0.0098,0.0033,1,1,0
0.026316,0.155184,0.01456,0.0376,0.0497,0.3374,0.2251,0.3412,0.0089,1,0,1
0,0.00202,0,0.1538,0.1538,0.1538,0.1538,0.1538,0.2308,0,1,0
0,0.068465,0,0.7241,0.1983,0.0733,0.0043,0,0,0,1,0
0.026316,0.016088,0.069234,0.2245,0.1633,0.1156,0.1769,0.3197,0,1,1,0
0,0.073155,0,0.9135,0.0817,0.0048,0,0,0,0,1,0
0,0.010245,0,0.1695,0.1864,0.1525,0.1525,0.1356,0.2034,0,1,0
0,0.066373,0,0.1853,0.0769,0.7378,0,0,0,0,0,1
0.052632,0.089219,0.071273,0.1124,0.0494,0.0462,0.792,0,0,1,1,0
0.236842,0.024024,0.018993,0.477,0.1152,0.1135,0.1241,0.1702,0,1,1,0
0,0.006349,0,0.6111,0.1667,0.1111,0.0278,0.0833,0,0,0,1
0.026316,0.014862,0.05249,0.7727,0.1364,0.0606,0.0152,0.0152,0,1,1,0
0.026316,0.090361,0.042589,0.2983,0.0232,0.0208,0.022,0.2616,0.3741,1,1,0
0,0.155977,0,0.9604,0.0335,0.0061,0,0,0,0,1,0
0,0.01176,0,0.125,0.0714,0.0714,0.0893,0.0893,0.5536,0,1,0
0,0.452565,0,0.0704,0.008,0.0071,0.0071,0.0071,0.9002,0,1,0
0,0.002453,0,0.0833,0.0833,0.1667,0.6667,0,0,0,0,1
0,0.01111,0,0.5179,0.25,0.2321,0,0,0,0,0,1
0,0.006637,0,0.1471,0.1176,0.1176,0.1471,0.1765,0.2941,0,1,0
0,0.088377,0,0.6403,0.3129,0.0468,0,0,0,0,1,0
0,0.000144,0,1,0,0,0,0,0,0,0,1
0,0.057283,0,0.3583,0.0276,0.0236,0.0236,0.0236,0.5433,0,1,0
0.052632,0.067888,0.011284,0.9328,0.0084,0.0084,0.0084,0.0084,0.0336,1,1,0
0.026316,0.14025,0.071127,0.0188,0.018,0.018,0.0188,0.0188,0.9078,1,1,0
0.026316,0.204098,0.047831,0.2649,0.0179,0.0184,0.0184,0.0179,0.6625,1,1,0
0.105263,0.053719,0.020748,0.0017,0.0017,0.0017,0.9948,0,0,1,1,0
0.026316,0.024096,0.038658,1,0,0,0,0,0,1,1,0
0,0.084265,0,0.1901,0.2254,0.5845,0,0,0,0,1,0
0.026316,0.071171,0.027883,0.0166,0.0151,0.012,0.012,0.012,0.9322,1,1,0
0,0.006204,0,0.0256,0.0769,0.5128,0.3846,0,0,0,0,1
0.026316,0.112113,0.084522,0.004,0,0.005,0,0.0624,0.9287,1,1,0
0,0.117163,0,0.9606,0.0394,0,0,0,0,0,1,0
0,0.427242,0,0.9201,0.0636,0.0106,0.0033,0.0016,8e-04,0,1,0
0,0.103456,0,0.0021,0.0083,0.0042,0.0042,0.0042,0.9771,0,1,0
0,0.340524,0,0.1275,0.0209,0.0209,0.8306,0,0,0,1,0
0,0.013708,0,0.0588,0.0294,0.0294,0.0294,0.0294,0.8235,0,1,0
0,0.031383,0,0.0135,0.0135,0.0135,0.0135,0.0135,0.9324,0,1,0
0.078947,0.04693,0.099689,0.5558,0.0515,0.0466,0.0466,0.0417,0.2577,1,1,0
0,0.005267,0,0.0357,0.0357,0.0357,0.0357,0.0357,0.8214,0,1,0
0,0.038381,0,0.0196,0.0147,0.0147,0.0147,0.0147,0.9216,0,1,0
